,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,HS Hdg,HS Code,,Description,Unit,"ICL/
SLSI",Preferential Duty,,,,,,,,,,"Gen
Duty",VAT,PAL,,Cess,,"Excise
(S.P.D)",SSCL,"S
C
L"
1,,,,,,,AP,AD,BN,GT,IN,PK,SA,SF,SD,SG,,,Gen,SG,GEN,SG,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,I.- CHEMICAL ELEMENTS,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,28.01,,,"Flourine, chlorine, bromine and iodine",,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,2801.10,-,Chlorine,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
8,,2801.20,-,Iodine,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
9,,2801.30,-,Fluorine; bromine,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,28.02,,,"Sulphur, sublimed or precipitated;
colloidal sulphur.",kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,28.03,,,"Carbon (carbon blacks and other forms
of carbon not elsewhere specified or
included.)",kg,,Free,,,,Free,Free,,Free,,Free,Free,18%,10%,6%,,,,2.5%,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,28.04,,,"Hydrogen, rare gases and other non-
metals.",,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,2804.10,-,Hydrogen,m3,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
18,,,-,Rare gases :,,,,,,,,,,,,,,,,,,,,,
19,,2804.21,--,Argon,m3,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
20,,2804.29,--,Other,m3,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
21,,2804.30,-,Nitrogen,m3,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
22,,2804.40,-,Oxygen,m3,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
23,HS Hdg,HS Code,,Description,Unit,"ICL/
SLSI",Preferential Duty,,,,,,,,,,"Gen
Duty",VAT,PAL,,Cess,,"Excise
(S.P.D)",SSCL,"S
C
L"
24,,,,,,,AP,AD,BN,GT,IN,PK,SA,SF,SD,SG,,,Gen,SG,GEN,SG,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,,2804.50,-,Boron; tellurium :,,,,,,,,,,,,,,,,,,,,,
27,,2804.50.10,---,Tellurium waste and scrap,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
28,,2804.50.90,---,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
29,,,-,Silicon :,,,,,,,,,,,,,,,,,,,,,
30,,2804.61,--,"Containing by weight not less than 99.99% of
silicon",kg,,Free,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
31,,2804.69,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
32,,2804.70,-,Phosphorus,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
33,,2804.80,-,Arsenic,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
34,,,-,Selenium :,,,,,,,,,,,,,,,,,,,,,
35,,2804.90.10,---,Waste and scrap,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
36,,2804.90.90,---,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
37,,,,,,,,,,,,,,,,,,,,,,,,,
38,28.05,,,"Alkali or alkaline-earth metals; rare-
earth metals, scandium and yttrium,
whether or not intermixed or
interalloyed; mercury.",,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-,Alkali or alkaline-earth metals :,,,,,,,,,,,,,,,,,,,,,
41,,2805.11,--,Sodium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
42,,2805.12,--,Calcium,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
43,,2805.19,--,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
44,,,-,"Rare-earth metals, scandium and yttrium,
whether or not intermixed or interalloyed :",,,,,,,,,,,,,,,,,,,,,
45,,2805.30.10,---,Waste and scrap of rare-earth metals,kg,L,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
46,,2805.30.90,---,Other,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,Ex,,,,,2.5%,
47,,2805.40,-,Mercury,kg,,,,,,Free,Free,,Free,Free,Free,Free,18%,10%,6%,,,,2.5%,
48,,,,,,,,,,,,,,,,,,,,,,,,,
