HSCode,SCCode
0713.33.10N,SC000
1005.10.00N,SC151
1209.29.00N,SC150
1209.91.00N,SC151
1209.99.10N,SC151
2106.90.19N,SC170
2106.90.99N,SC209
2202.10.00N,SC324
2301.20.00N,SC167
2309.10.00N,SC170
2309.90.30N,SC154
2309.90.90N,SC154
2503.00.00N,SC154
2510.10.10N,SC154
2530.20.00N,SC154
2701.11.00N,SC150
2710.19.80N,SC208
2815.12.00N,SC154
2828.90.00N,SC154
2833.21.00N,SC154
2833.29.90N,SC154
2835.25.00N,SC154
2836.50.00N,SC154
2840.19.00N,SC154
2922.41.00N,SC152
2922.49.00N,SC152
2930.40.00N,SC152
2936.27.00N,SC149
2936.28.00N,SC149
2936.29.00N,SC149
2936.90.00N,SC149
3002.30.00N,SC000
3003.90.90N,SC000
3004.20.00N,SC000
3004.32.00N,SC000
3004.50.00N,SC000
3004.90.12N,SC300
3004.90.90N,SC000
3101.00.00N,SC151
3102.10.00N,SC028
3102.21.00N,SC028
3102.60.00N,SC028
3102.90.00N,SC028
3103.11.00N,SC028
3103.19.00N,SC028
3104.30.00N,SC028
3104.90.00N,SC028
3105.20.00N,SC028
3105.30.00N,SC028
3105.40.00N,SC028
3105.90.00N,SC028
3206.19.00N,SC154
3209.90.10N,SC325
3212.90.90N,SC167
3215.19.00N,SC326
3305.10.00N,SC445
3403.99.90N,SC154
3506.10.10N,SC154
3506.10.90N,SC201
3506.99.10N,SC154
3506.99.90N,SC161
3707.90.00N,SC167
3808.91.90N,SC154
3808.92.90N,SC154
3808.93.90N,SC154
3808.94.90N,SC154
3808.99.90N,SC154
3810.10.00N,SC154
3819.00.00N,SC170
3820.00.00N,SC154
3822.00.00N,SC154
3824.99.90N,SC154
3902.30.00N,SC154
3903.30.00N,SC154
3906.90.90N,SC154
3917.22.90N,SC208
3917.29.90N,SC208
3917.32.00N,SC198
3917.33.00N,SC198
3917.39.00N,SC000
3917.40.90N,SC208
3919.10.00N,SC208
3919.90.10N,SC154
3919.90.90N,SC170
3920.10.90N,SC170
3920.43.10N,SC154
3920.99.90N,SC319
3922.90.90N,SC212
3923.10.90N,SC187
3923.21.90N,SC187
3923.30.10N,SC314
3923.30.90N,SC320
3923.50.90N,SC170
3923.90.90N,SC168
3924.10.90N,SC352
3924.90.90N,SC352
3926.30.00N,SC208
3926.90.50N,SC151
3926.90.99N,SC348
4008.11.00N,SC313
4008.19.00N,SC313
4008.21.00N,SC313
4009.11.00N,SC313
4009.12.00N,SC313
4009.21.00N,SC313
4009.22.00N,SC000
4009.22.90N,SC313
4009.42.00N,SC000
4009.42.90N,SC313
4010.19.00N,SC167
4010.39.00N,SC167
4011.10.90N,SC340
4011.20.19N,SC365
4011.20.90N,SC437
4011.40.00N,SC439
4011.70.00N,SC409
4011.90.10N,SC440
4013.10.00N,SC208
4013.90.10N,SC362
4013.90.90N,SC362
4016.10.00N,SC169
4016.93.20N,SC154
4016.93.90N,SC198
4016.95.90N,SC187
4016.99.20N,SC154
4016.99.90N,SC169
4017.00.90N,SC169
4202.12.00N,SC387
4202.91.00N,SC424
4203.40.00N,SC441
4205.00.10N,SC408
4419.11.00N,SC373
4419.19.00N,SC321
4419.90.00N,SC321
4421.91.90N,SC154
4421.99.90N,SC422
4503.90.00N,SC194
4811.41.11N,SC381
4819.20.00N,SC187
4819.30.00N,SC187
4820.10.00N,SC383
4821.10.90N,SC187
4823.20.10N,SC154
4823.40.00N,SC167
4823.90.10N,SC155
4823.90.90N,SC170
4901.10.00N,SC000
4910.00.00N,SC323
4911.10.10N,SC154
4911.10.90N,SC311
4911.99.90N,SC311
5607.41.00N,SC371
5607.50.90N,SC374
5607.90.90N,SC201
5608.11.90N,SC335
5609.00.00N,SC334
5906.10.00N,SC154
5911.90.00N,SC154
6101.90.00N,SC302
6109.10.00N,SC380
6116.10.00N,SC388
6304.20.00N,SC386
6304.91.00N,SC386
6305.10.90N,SC379
6306.30.00N,SC378
6307.20.00N,SC378
6505.00.90N,SC310
6506.99.90N,SC323
6804.22.00N,SC167
6804.30.00N,SC167
6805.10.00N,SC208
6805.20.00N,SC208
6808.00.00N,SC318
6811.40.40N,SC167
6811.89.10N,SC167
6813.81.00N,SC167
6813.89.00N,SC167
6911.10.00N,SC341
6912.00.10N,SC425
7007.11.00N,SC199
7007.19.00N,SC199
7007.29.00N,SC197
7009.10.00N,SC329
7009.91.00N,SC316
7009.92.00N,SC316
7014.00.90N,SC161
7019.12.00N,SC150
7019.31.00N,SC154
7020.00.10N,SC194
7020.00.20N,SC161
7020.00.90N,SC167
7307.11.00N,SC197
7307.19.00N,SC161
7307.91.00N,SC161
7307.92.00N,SC161
7307.93.00N,SC161
7309.00.90N,SC197
7310.10.90N,SC197
7310.29.10N,SC154
7310.29.90N,SC168
7311.00.00N,SC154
7312.10.00N,SC154
7312.90.00N,SC154
7315.11.00N,SC154
7315.12.00N,SC154
7317.00.00N,SC354
7318.14.00N,SC346
7318.15.00N,SC346
7318.16.00N,SC346
7318.19.00N,SC346
7318.21.00N,SC346
7318.22.00N,SC346
7318.23.00N,SC346
7318.24.00N,SC346
7318.29.00N,SC346
7320.10.00N,SC359
7320.90.00N,SC346
7321.11.00N,SC410
7321.90.00N,SC161
7323.93.00N,SC442
7323.99.00N,SC443
7326.19.00N,SC161
7326.20.90N,SC167
7326.90.90N,SC167
7409.21.00N,SC154
7409.29.00N,SC154
7410.11.00N,SC154
7410.12.00N,SC154
7411.10.00N,SC152
7411.21.00N,SC154
7411.29.00N,SC154
7412.20.00N,SC154
7413.00.00N,SC170
7415.21.00N,SC342
7415.33.90N,SC342
7415.39.00N,SC342
7419.99.90N,SC208
7607.11.90N,SC167
7608.10.00N,SC170
7608.20.00N,SC167
7612.90.10N,SC154
7613.00.00N,SC154
7615.10.20N,SC409
7615.10.90N,SC417
7616.10.00N,SC167
7616.91.90N,SC167
7616.99.90N,SC170
7801.99.00N,SC154
7804.19.00N,SC154
7806.00.00N,SC154
7907.00.90N,SC154
8201.10.00N,SC154
8201.30.90N,SC154
8201.50.00N,SC154
8201.60.00N,SC154
8201.90.10N,SC151
8201.90.90N,SC154
8202.10.00N,SC154
8202.39.00N,SC154
8202.40.00N,SC154
8202.91.00N,SC154
8202.99.00N,SC154
8203.10.00N,SC150
8203.20.00N,SC150
8203.30.00N,SC150
8203.40.00N,SC154
8204.11.00N,SC154
8204.12.00N,SC154
8204.20.00N,SC154
8205.10.00N,SC154
8205.20.00N,SC154
8205.30.00N,SC154
8205.40.00N,SC154
8205.59.00N,SC154
8205.70.00N,SC154
8205.90.00N,SC154
8206.00.00N,SC154
8207.20.00N,SC154
8207.40.00N,SC154
8207.50.00N,SC154
8207.90.00N,SC154
8208.10.00N,SC154
8208.20.00N,SC154
8208.30.00N,SC154
8208.40.00N,SC154
8208.90.00N,SC154
8211.10.00N,SC154
8211.91.00N,SC167
8211.92.00N,SC167
8211.93.00N,SC167
8211.94.00N,SC167
8212.20.90N,SC154
8213.00.00N,SC154
8214.90.00N,SC376
8215.10.00N,SC154
8215.20.00N,SC154
8215.99.00N,SC154
8301.10.00N,SC328
8301.20.00N,SC349
8301.40.00N,SC328
8301.70.00N,SC343
8302.10.90N,SC315
8302.30.00N,SC326
8302.49.00N,SC315
8304.00.00N,SC361
8305.20.00N,SC446
8307.10.00N,SC000
8307.10.90N,SC382
8307.90.00N,SC000
8308.10.00N,SC167
8310.00.00N,SC316
8311.10.00N,SC154
8311.20.00N,SC154
8311.30.00N,SC154
8311.90.00N,SC154
8402.12.00N,SC149
8402.19.00N,SC149
8402.90.00N,SC149
8405.10.00N,SC152
8407.21.00N,SC149
8407.90.90N,SC165
8408.10.00N,SC152
8408.20.90N,SC152
8408.90.90N,SC165
8409.91.90N,SC152
8409.99.00N,SC153
8412.29.00N,SC152
8413.11.00N,SC153
8413.19.00N,SC153
8413.20.00N,SC153
8413.30.00N,SC153
8413.50.00N,SC153
8413.60.00N,SC205
8413.70.19N,SC205
8413.70.99N,SC153
8413.81.00N,SC153
8413.91.10N,SC166
8413.91.90N,SC166
8414.10.00N,SC152
8414.20.00N,SC152
8414.30.00N,SC152
8414.40.00N,SC152
8414.51.00N,SC402
8414.59.00N,SC402
8414.80.00N,SC152
8414.90.10N,SC189
8414.90.90N,SC153
8415.10.21N,SC429
8415.10.22N,SC430
8415.10.23N,SC435
8415.10.24N,SC436
8415.10.25N,SC444
8415.10.29N,SC416
8415.82.90N,SC406
8415.90.19N,SC389
8415.90.90N,SC165
8417.90.00N,SC152
8418.21.90N,SC412
8418.30.20N,SC213
8418.69.60N,SC000
8418.69.90N,SC153
8418.99.00N,SC152
8419.31.00N,SC150
8419.39.00N,SC152
8419.50.00N,SC152
8419.89.90N,SC191
8419.90.00N,SC152
8421.21.90N,SC153
8421.23.90N,SC203
8421.31.00N,SC204
8421.39.00N,SC152
8421.99.10N,SC204
8421.99.20N,SC204
8421.99.90N,SC165
8422.30.90N,SC152
8422.90.00N,SC152
8423.10.10N,SC153
8423.10.20N,SC205
8423.90.90N,SC153
8424.20.00N,SC152
8424.49.00N,SC152
8424.82.00N,SC152
8424.89.00N,SC152
8424.90.00N,SC152
8425.11.00N,SC152
8425.41.00N,SC152
8425.42.00N,SC152
8425.49.00N,SC152
